"Activity/Subject"	"tbodyacc-Mean-X"	"tbodyacc-Mean-Y"	"tbodyacc-Mean-Z"	"tgravityacc-Mean-X"	"tgravityacc-Mean-Y"	"tgravityacc-Mean-Z"	"tbodyaccjerk-Mean-X"	"tbodyaccjerk-Mean-Y"	"tbodyaccjerk-Mean-Z"	"tbodygyro-Mean-X"	"tbodygyro-Mean-Y"	"tbodygyro-Mean-Z"	"tbodygyrojerk-Mean-X"	"tbodygyrojerk-Mean-Y"	"tbodygyrojerk-Mean-Z"	"tbodyaccmag-Mean"	"tgravityaccmag-Mean"	"tbodyaccjerkmag-Mean"	"tbodygyromag-Mean"	"tbodygyrojerkmag-Mean"	"fbodyacc-Mean-X"	"fbodyacc-Mean-Y"	"fbodyacc-Mean-Z"	"fbodyacc-Meanfreq-X"	"fbodyacc-Meanfreq-Y"	"fbodyacc-Meanfreq-Z"	"fbodyaccjerk-Mean-X"	"fbodyaccjerk-Mean-Y"	"fbodyaccjerk-Mean-Z"	"fbodyaccjerk-Meanfreq-X"	"fbodyaccjerk-Meanfreq-Y"	"fbodyaccjerk-Meanfreq-Z"	"fbodygyro-Mean-X"	"fbodygyro-Mean-Y"	"fbodygyro-Mean-Z"	"fbodygyro-Meanfreq-X"	"fbodygyro-Meanfreq-Y"	"fbodygyro-Meanfreq-Z"	"fbodyaccmag-Mean"	"fbodyaccmag-Meanfreq"	"fbodybodyaccjerkmag-Mean"	"fbodybodyaccjerkmag-Meanfreq"	"fbodybodygyromag-Mean"	"fbodybodygyromag-Meanfreq"	"fbodybodygyrojerkmag-Mean"	"fbodybodygyrojerkmag-Meanfreq"	"angle(tbodyaccMean,gravity)"	"angle(tbodyaccjerkMean),gravityMean)"	"angle(tbodygyroMean,gravityMean)"	"angle(tbodygyrojerkMean,gravityMean)"	"angle(x,gravityMean)"	"angle(y,gravityMean)"	"angle(z,gravityMean)"	"tbodyacc-STD-X"	"tbodyacc-STD-Y"	"tbodyacc-STD-Z"	"tgravityacc-STD-X"	"tgravityacc-STD-Y"	"tgravityacc-STD-Z"	"tbodyaccjerk-STD-X"	"tbodyaccjerk-STD-Y"	"tbodyaccjerk-STD-Z"	"tbodygyro-STD-X"	"tbodygyro-STD-Y"	"tbodygyro-STD-Z"	"tbodygyrojerk-STD-X"	"tbodygyrojerk-STD-Y"	"tbodygyrojerk-STD-Z"	"tbodyaccmag-STD"	"tgravityaccmag-STD"	"tbodyaccjerkmag-STD"	"tbodygyromag-STD"	"tbodygyrojerkmag-STD"	"fbodyacc-STD-X"	"fbodyacc-STD-Y"	"fbodyacc-STD-Z"	"fbodyaccjerk-STD-X"	"fbodyaccjerk-STD-Y"	"fbodyaccjerk-STD-Z"	"fbodygyro-STD-X"	"fbodygyro-STD-Y"	"fbodygyro-STD-Z"	"fbodyaccmag-STD"	"fbodybodyaccjerkmag-STD"	"fbodybodygyromag-STD"	"fbodybodygyrojerkmag-STD"
"22"	"16"	0.27789	-0.01586	-0.10726	0.7009	-0.06052	0.04021	0.07755	0.00884	-0.001437	-0.01223	-0.07244	0.07301	-0.10736	-0.04166	-0.05395	-0.6161	-0.6161	-0.72525	-0.7182	-0.8604	-0.7009	-0.6716	-0.661	-0.23857	-0.02764	0.02782	-0.7447	-0.74863	-0.7523	-0.031889	-0.19451	-0.17059	-0.78978	-0.816	-0.7563	-0.1379	-0.15802	-0.05389	-0.667	0.05587	-0.7132	0.22168	-0.8171	-0.05012	-0.8728	0.15321	-0.0005828	0.02056	-0.02633	0.03511	-0.515	0.12528	-0.03445	-0.6682	-0.64995	-0.6038	-0.9712	-0.9647	-0.94529	-0.7279	-0.73508	-0.76787	-0.7995	-0.8101	-0.7376	-0.8583	-0.8696	-0.837	-0.6617	-0.6617	-0.7196	-0.7848	-0.8748	-0.657	-0.6618	-0.6056	-0.7348	-0.738434	-0.78209	-0.805	-0.8094	-0.757	-0.7127	-0.7299	-0.80208	-0.8865
"23"	"17"	0.274	-0.01754	-0.1092	0.6989	-0.01373	-0.0177	0.08141	0.00849	0.002703	-0.01467	-0.08271	0.07703	-0.10785	-0.03917	-0.05085	-0.56837	-0.56837	-0.69647	-0.676185	-0.8104	-0.6518	-0.6017	-0.71895	-0.22629	0.0053	0.007556	-0.71668	-0.694755	-0.8025	-0.07991	-0.1616	-0.16238	-0.7287	-0.7747	-0.7269	-0.0811	-0.10678	-0.03227	-0.6462	0.03553	-0.69758	0.21639	-0.7695	0.004883	-0.8291	0.23279	0.013554	-0.002771	0.01517	0.011146	-0.4953	0.08216	0.02132	-0.6085	-0.56701	-0.6606	-0.9718	-0.9588	-0.949	-0.6826	-0.66869	-0.8133	-0.75901	-0.7649	-0.72074	-0.7884	-0.826	-0.8083	-0.6361	-0.6361	-0.69395	-0.75015	-0.8253	-0.5935	-0.57693	-0.6566	-0.6765	-0.6632	-0.8228	-0.770057	-0.7613	-0.7451	-0.6875	-0.6926	-0.7822	-0.8337
"24"	"18"	0.2763	-0.01728	-0.108112	0.7169	-0.01578	0.08999	0.07748	0.012885	0.0008485	-0.0374	-0.06782	0.09084	-0.0944	-0.04417	-0.05685	-0.6584	-0.6584	-0.7539	-0.7147	-0.8599	-0.7142	-0.66366	-0.7612	-0.21029	0.0142	0.00238	-0.75	-0.7441	-0.833	-0.069139	-0.2118	-0.12324	-0.78776	-0.8164	-0.7559	-0.1136	-0.24548	-0.08909	-0.69773	0.09111	-0.74232	0.2246	-0.8163	-0.05737	-0.8847	0.19323	0.009953	0.0169548	0.01714	-0.04146	-0.5213	0.076008	-0.05217	-0.6946	-0.62712	-0.7016	-0.9801	-0.9695	-0.9594	-0.7346	-0.733	-0.8473	-0.80453	-0.7774	-0.7456	-0.8429	-0.8841	-0.8386	-0.68967	-0.68967	-0.74521	-0.77578	-0.8886	-0.6879	-0.63284	-0.69487	-0.7425	-0.7392	-0.8602	-0.81218	-0.7597	-0.7664	-0.7339	-0.75019	-0.78978	-0.90221
"25"	"19"	0.2697	-0.0182	-0.11828	0.4753	0.09641	0.23301	0.07742	0.011581	-0.001862	-0.03857	-0.06814	0.08836	-0.08959	-0.03832	-0.05696	-0.53151	-0.53151	-0.576225	-0.54892	-0.6834	-0.58705	-0.52189	-0.647	-0.21243	0.07039	0.160384	-0.59316	-0.59669	-0.6809	0.002639	-0.16079	0.002256	-0.55309	-0.6413	-0.60263	-0.03218	-0.1963	-0.0415	-0.5564	0.11578	-0.57606	0.23207	-0.6363	-0.01993	-0.7195	0.12863	0.002538	0.003712	0.03155	0.001034	-0.2977	0.001516	-0.15636	-0.57466	-0.507	-0.6492	-0.9583	-0.9593	-0.9418	-0.57109	-0.57131	-0.7053	-0.6378	-0.6439	-0.6457	-0.6188	-0.726	-0.6867	-0.5996	-0.5996	-0.6019	-0.6101	-0.7256	-0.5709	-0.5309	-0.6803	-0.5869	-0.5726	-0.7285	-0.6661	-0.6501	-0.6947	-0.6899	-0.6411	-0.6623	-0.7542
"26"	"20"	0.2684	-0.017591	-0.10803	0.628	-0.03731	0.10723	0.07982	0.002209	-0.004506	-0.02425	-0.07894	0.08563	-0.09498	-0.04144	-0.0543	-0.51726	-0.51726	-0.6197	-0.516861	-0.68405	-0.6126	-0.4264	-0.66501	-0.22818	-0.01144	0.07796	-0.6523	-0.55779	-0.7328	-0.09466	-0.29585	-0.17377	-0.6264	-0.591	-0.51844	-0.15297	-0.19728	-0.13832	-0.56028	0.06049	-0.5846	0.08722	-0.607	-0.06767	-0.6926381	0.05043	0.001926	0.01106	-0.006111	-0.01742	-0.4291	0.08367	-0.05701	-0.6048	-0.3693	-0.6348	-0.9582	-0.9525	-0.94098	-0.6271	-0.527175	-0.74736	-0.6846	-0.5737	-0.52728	-0.698354	-0.6843	-0.6367	-0.5723	-0.5723	-0.58864	-0.58	-0.6835	-0.6031	-0.3815	-0.64752	-0.6347	-0.525908	-0.76051	-0.7045	-0.5676	-0.575	-0.6483	-0.5974	-0.6358	-0.6947
"27"	"21"	0.27747	-0.01767	-0.10878	0.6458	-0.0751	0.03219	0.08222	0.003501	-0.010659	-0.02763	-0.07847	0.08612	-0.10056	-0.04082	-0.05339	-0.6203	-0.6203	-0.7035	-0.69378	-0.8078	-0.6935	-0.593778	-0.7077	-0.230976	0.04128	0.04955	-0.7164	-0.6786	-0.7674	0.01687	-0.16181	-0.11282	-0.752	-0.75933	-0.7095	-0.08901	-0.18646	-0.02289	-0.6587	0.08465	-0.6797	0.24432	-0.7765	-0.005719	-0.8263	0.20564	0.012075	-0.01465	0.01401	0.02209	-0.4139	0.1284	-0.01918	-0.6723	-0.56559	-0.6696	-0.9656	-0.9693	-0.9531	-0.6998	-0.6652	-0.78182	-0.79617	-0.7651	-0.7016	-0.7925	-0.8159	-0.812	-0.6602	-0.6602	-0.6801	-0.761303	-0.8241	-0.6653	-0.5787	-0.67559	-0.7098	-0.6741	-0.794923	-0.81103	-0.7714	-0.7283	-0.7143	-0.6837	-0.79316	-0.8349
"28"	"22"	0.274768	-0.01683	-0.10867	0.6094	0.03151	0.23589	0.0791	0.015257	-0.007229	-0.008006	-0.09497	0.08124	-0.10926	-0.03846	-0.05821	-0.5041	-0.5041	-0.60977	-0.63767	-0.7947	-0.59493	-0.5082	-0.68732	-0.18103	0.0372	0.08063	-0.60425	-0.57432	-0.7397	0.06655	-0.178425	-0.04677	-0.6396	-0.7914	-0.64336	-0.164138	-0.20074	-0.05163	-0.57433	0.10328	-0.58544	0.161936	-0.7282	-0.13162	-0.8302	0.11956	0.00592	0.004058	-0.008895	0.0222	-0.4281	0.05112	-0.16351	-0.54609	-0.4912	-0.65509	-0.9585	-0.957323	-0.9391	-0.584964	-0.56047	-0.7605	-0.69592	-0.7841	-0.65446	-0.7089	-0.8599	-0.74227	-0.596	-0.596	-0.58982	-0.67638	-0.8265	-0.52896	-0.51558	-0.66552	-0.60246	-0.57639	-0.7803	-0.71498	-0.782	-0.69068	-0.6739	-0.5993	-0.6996	-0.8356
"29"	"23"	0.273493	-0.01959	-0.10909	0.6623	0.01462	0.05187	0.07786	0.02005	-0.0007177	-0.02209	-0.0826	0.07469	-0.0967	-0.04327	-0.0622	-0.53275	-0.53275	-0.5864	-0.54421	-0.6234	-0.5991	-0.54848	-0.49021	-0.208724	0.02979	0.08998	-0.6175	-0.6282	-0.5789	0.01736	-0.12467	-0.1125	-0.6851	-0.49778	-0.6177	-0.02517	-0.05927	-0.02294	-0.529	0.11534	-0.54266	0.20255	-0.53466	0.15472	-0.58411	0.16919	0.004993	-0.011236	0.01216	-0.01781	-0.5037	0.07099	-0.044	-0.6226	-0.53208	-0.4506	-0.9644	-0.9603	-0.9342	-0.6082	-0.619	-0.603	-0.7557	-0.50034	-0.6097	-0.7287	-0.54604	-0.7405	-0.5656	-0.5656	-0.55873	-0.54195	-0.57394	-0.6338	-0.55447	-0.47477	-0.6351	-0.637	-0.6275	-0.7792	-0.50785	-0.6441	-0.657	-0.58383	-0.6323	-0.5937
"30"	"24"	0.27677	-0.017682	-0.10791	0.695	0.07295	0.06232	0.07847	0.003969	-0.00701	-0.02126	-0.07824	0.08417	-0.09983	-0.03907	-0.0553	-0.62	-0.62	-0.71367	-0.68245	-0.7916	-0.70761	-0.6115	-0.6559	-0.26335	-0.01761	0.08126	-0.7522	-0.70364	-0.7197	-0.05704	-0.23113	-0.13977	-0.72261	-0.7537	-0.7095	-0.05011	-0.09753	-0.05564	-0.6501	0.02363	-0.6968	0.19842	-0.7541	0.019449	-0.795	0.16174	-0.002317	-0.012478	-0.01398	-0.003004	-0.546	0.01987	-0.03123	-0.6755	-0.5825	-0.6365	-0.9753	-0.9609	-0.9557	-0.7403	-0.686	-0.7364	-0.7762	-0.7634	-0.70825	-0.76449	-0.7927	-0.7968	-0.6509	-0.6509	-0.6894	-0.74298	-0.789	-0.6644	-0.5947	-0.65536	-0.7514	-0.6883	-0.75163	-0.7941	-0.772	-0.7357	-0.705928	-0.6824	-0.7821	-0.7962
"31"	"25"	0.2753	-0.01932	-0.10963	0.6724	0.04716	0.23923	0.08177	0.006386	-0.01035	-0.002982	-0.0839	0.09936	-0.10826	-0.03899	-0.05558	-0.5834	-0.5834	-0.7834	-0.62573	-0.8496	-0.7484	-0.60003	-0.7385	-0.30666	-0.1087	-0.07445	-0.8041	-0.7406	-0.8495	-0.1108	-0.34775	-0.23571	-0.6722	-0.8131	-0.7468	-0.2076	-0.3491	-0.13514	-0.69502	-0.04264	-0.7792	0.168223	-0.7542	-0.22082	-0.876	0.04715	-0.001222	0.04704	-0.02669	0.02239	-0.5124	0.03074	-0.15947	-0.71626	-0.5314	-0.6471	-0.95	-0.9011	-0.8807	-0.7968	-0.7225	-0.8607	-0.68313	-0.7523	-0.7474	-0.7687	-0.9026	-0.8318	-0.659	-0.659	-0.7805	-0.685153	-0.8728	-0.705224	-0.5291	-0.6302	-0.8077	-0.72171	-0.8705	-0.6904	-0.7236	-0.7712	-0.6954	-0.7835	-0.69721	-0.8777
"32"	"26"	0.273	-0.01617	-0.1076	0.6151	0.1087	0.23411	0.08087	0.007677	-0.007249	-0.02066	-0.08274	0.09179	-0.09881	-0.04048	-0.05583	-0.6009	-0.6009	-0.694918	-0.6946	-0.7983	-0.6511	-0.6104	-0.72405	-0.22255	0.036038	0.14243	-0.699413	-0.6967	-0.7696	-0.02384	-0.1689	-0.08505	-0.7031	-0.7994	-0.6894	-0.01678	-0.09978	0.002936	-0.6318	0.08833	-0.67928	0.18046	-0.7705	-0.012159	-0.8239	0.14753	0.021668	0.01686	-0.01759	-0.01162	-0.4827	-0.01005	-0.14982	-0.6231	-0.58597	-0.70498	-0.9678	-0.95971	-0.9556	-0.6828	-0.6784	-0.7783	-0.76667	-0.8007	-0.70335	-0.7323	-0.8361	-0.7731	-0.6204	-0.6204	-0.6774	-0.751834	-0.8183	-0.6135	-0.6003	-0.7185	-0.69431	-0.6804	-0.786	-0.7874	-0.8036	-0.7359	-0.6739	-0.678	-0.78262	-0.824
"33"	"27"	0.2773	-0.0168	-0.11085	0.6272	0.03224	0.141169	0.07683	0.006177	-0.00495	-0.06089	-0.05522	0.10895	-0.08931	-0.04504	-0.05863	-0.6279	-0.6279	-0.7018	-0.69402	-0.8231	-0.6815	-0.6413	-0.71548	-0.1703	0.09597	0.1332	-0.7146	-0.6945	-0.76857	-0.01046	-0.11592	-0.06816	-0.7685	-0.795434	-0.7028	-0.08917	-0.05266	-0.007083	-0.6672	0.19178	-0.6886	0.24674	-0.786	0.011487	-0.83759	0.20369	0.001028	0.01652	0.055137	-0.05486	-0.4642	0.05484	-0.09846	-0.661	-0.6305	-0.68322	-0.9746	-0.9725	-0.9592	-0.7006	-0.6748	-0.7836	-0.7959	-0.802	-0.6741	-0.8211	-0.83732	-0.7829	-0.6779	-0.6779	-0.696	-0.7547	-0.83721	-0.6547	-0.64951	-0.69213	-0.7129	-0.6757	-0.7973	-0.80629	-0.8088	-0.6971	-0.7349	-0.7075	-0.7778	-0.84826
"34"	"28"	0.2775	-0.01917	-0.10971	0.6238	-0.1476	-0.04699	0.08073	0.013822	0.0008242	-0.0645	-0.04715	0.10084	-0.08812	-0.0448	-0.06077	-0.61	-0.61	-0.6894	-0.6485	-0.78929	-0.6542	-0.5849	-0.71513	-0.21789	-0.06523	0.01899	-0.6867	-0.6707	-0.77906	-0.03421	-0.2776	-0.1261	-0.6744	-0.7471	-0.67351	-0.151644	-0.2706	-0.08969	-0.6288	0.01799	-0.6754	0.17361	-0.73791	-0.123	-0.8069	-0.002009	0.00514	-0.009011	0.04808	-0.001505	-0.4374	0.1827	0.062407	-0.649	-0.5737	-0.6858	-0.9739	-0.9604	-0.9462	-0.6808	-0.6516	-0.8009	-0.740277	-0.74129	-0.6698	-0.7205	-0.825	-0.7698	-0.6358	-0.6358	-0.6877	-0.71096	-0.8057	-0.6478	-0.5951	-0.6958	-0.7041	-0.6549	-0.8217	-0.762	-0.74082	-0.70029	-0.697	-0.7064	-0.74378	-0.8184
"35"	"29"	0.27911	-0.01847	-0.10868	0.6831	0.11549	0.20822	0.07884	0.009002	-0.003553	-0.01018	-0.08829	0.08816	-0.10071	-0.04643	-0.05279	-0.55359	-0.55359	-0.66454	-0.6022	-0.8023	-0.5799	-0.5877	-0.68055	-0.16535	0.12808	0.08863	-0.6299	-0.6413	-0.7684	0.01078	-0.08156	-0.009527	-0.6857	-0.736	-0.68922	0.00201	-0.25394	0.020352	-0.5893	0.16277	-0.6099	0.227451	-0.72202	-0.04465	-0.8405	0.21243	0.008432	-0.004451	-0.04311	-0.0009468	-0.5607	-0.01594	-0.13106	-0.5743	-0.5984	-0.6065	-0.9733	-0.9646	-0.9416	-0.6235	-0.6355	-0.7937	-0.7347	-0.6346	-0.7139	-0.73612	-0.8536	-0.7702	-0.5791	-0.5791	-0.6205	-0.6537	-0.8402	-0.5728	-0.631	-0.6026	-0.6516	-0.6555	-0.8183	-0.7526	-0.5889	-0.7492	-0.6393	-0.6364	-0.6715	-0.8515
"36"	"30"	0.27631	-0.01759	-0.10589	0.6969	0.05127	0.18434	0.07348	0.007304	-0.0006539	-0.03542	-0.07175	0.08345	-0.09268	-0.04129	-0.04936	-0.5381	-0.5381	-0.69705	-0.51003	-0.7859	-0.6357	-0.5585	-0.63496	-0.3028	-0.08442	-0.04155	-0.68531	-0.6717	-0.7554	-0.1316	-0.2941	-0.1686	-0.6674	-0.62991	-0.6157	-0.23171	-0.3611	-0.20171	-0.6004	-0.03012	-0.6563	0.0817	-0.6696005	-0.20509	-0.8113	0.04331	0.008293	0.017004	0.02318	-0.02203	-0.5637	0.03474	-0.118056	-0.6159	-0.519	-0.5226	-0.9743	-0.9523	-0.9294	-0.679	-0.6608	-0.7816	-0.671	-0.53899	-0.5898	-0.7806	-0.7989	-0.7632	-0.5882	-0.5882	-0.659	-0.5738	-0.8104	-0.6092	-0.5313	-0.5066	-0.70188	-0.6726	-0.8072	-0.6768	-0.49631	-0.6203	-0.64652	-0.6646	-0.5892	-0.8228
